,datetime_utc,yes_best_ask_price,yes_best_ask_size,yes_best_bid_price,yes_best_bid_size,no_best_ask_price,no_best_ask_size,no_best_bid_price,no_best_bid_size,arb_gap,yes_best_mid_price,no_best_mid_price,yes_best_mid_std,no_best_mid_std,cheap_yes,cheap_no,yes_imbalance,no_imbalance,pair_best_ask_price,timestamp,price_Down,price_Up,size_Down,size_Up
415,2026-01-18 19:53:09.963,0.13,911.6,0.12,686.66,0.88,686.66,0.87,911.6,0.010000000000000009,0.125,0.875,0.027461323598568364,0.02727294555638873,0,0,-0.14074055535394744,0.14074055535394744,1.01,,,,,
416,2026-01-18 19:53:11.041,0.13,854.13,0.12,669.66,0.88,669.66,0.87,854.13,0.010000000000000009,0.125,0.875,0.025175093063074087,0.024980783575026356,0,0,-0.12105998858110371,0.12105998858110371,1.01,,,,,
417,2026-01-18 19:53:12.319,0.13,1220.94,0.12,305.61,0.88,305.61,0.87,1220.94,0.010000000000000009,0.125,0.875,0.023149599452306692,0.02294921930407159,0,0,-0.5996069568635157,0.5996069568635157,1.01,,,,,
418,2026-01-18 19:53:13.511,0.13,1048.39,0.12,226.15,0.88,226.15,0.87,1048.39,0.010000000000000009,0.125,0.875,0.021916637129149773,0.021713985703710567,0,0,-0.6451268693018658,0.6451268693018658,1.01,,,,,
419,2026-01-18 19:53:14.624,0.13,1230.56,0.12,39.77,0.88,39.77,0.87,1230.56,0.010000000000000009,0.125,0.875,0.02099233112595346,0.020788822507362952,0,0,-0.9373863484291484,0.9373863484291484,1.01,,,,,
420,2026-01-18 19:53:15.852,0.13,1237.56,0.12,20.06,0.88,20.06,0.87,1237.56,0.010000000000000009,0.125,0.875,0.01997456009146228,0.01976914790878072,0,0,-0.9680984717164168,0.9680984717164168,1.01,,,,,
421,2026-01-18 19:53:17.133,0.13,1237.56,0.12,26.25,0.88,26.25,0.87,1237.56,0.010000000000000009,0.125,0.875,0.01926546630866681,0.019059822563651848,0,0,-0.9584589455693499,0.9584589455693499,1.01,,,,,
422,2026-01-18 19:53:18.422,0.13,1248.56,0.12,35.82,0.88,35.82,0.87,1248.56,0.010000000000000009,0.125,0.875,0.018491103373103054,0.018284475215274945,0,0,-0.9442221149504042,0.9442221149504042,1.01,,,,,
423,2026-01-18 19:53:19.546,0.13,1263.06,0.12,5.71,0.88,5.71,0.87,1263.06,0.010000000000000009,0.125,0.875,0.01764287919928772,0.01743429959188451,0,0,-0.9909991566635402,0.9909991566635402,1.01,,,,,
424,2026-01-18 19:53:20.833,0.12,283.05,0.11,27.24,0.89,27.24,0.88,283.05,0.010000000000000009,0.11499999999999999,0.885,0.016816557619485424,0.016607805665988625,0,0,-0.8244223146089142,0.8244223146089142,1.01,,,,,
