,imbalance,relative_imbalance,position_imbalance,trade_size,imbalance_persistence,time_remaining,pnl,roi,pair_cost,matched_pairs,total_trades,final_position_imbalance,marginal_cost_improvement
190,-0.40000000000000013,0.6000000000000001,0.4,75,2,60,0.3636690853008645,0.036366908530086575,0.9962143217512288,832.2998322493715,138.6,0.17501863504034693,0.002
191,-0.40000000000000013,0.6000000000000001,0.4,75,6,30,5.2404621353839955,0.5240462135383994,0.9954671002433388,523.6539957113152,50.5,0.3382335732894646,0.002
197,-0.40000000000000013,0.8,0.2,75,6,30,19.403689870438097,1.9403689870438097,0.9894369937660947,384.29347217068647,38.8,0.35804028226056006,0.001
199,-0.40000000000000013,0.8,0.30000000000000004,50,6,60,21.626213458053304,2.1626213458053303,0.9684977605182225,380.379718995017,41.7,0.41390665579016517,0.002
202,-0.40000000000000013,0.8,0.4,75,2,60,3.8452614306073087,0.38452614306073085,0.9910563966594562,850.3892138946043,136.6,0.1642474647279587,0.002
203,-0.40000000000000013,0.8,0.4,75,6,60,19.98054551998424,1.998054551998424,0.9722525039362466,395.1319721706865,42.7,0.42398274408658027,0.001
214,-0.20000000000000018,0.2,0.30000000000000004,25,2,60,-0.3100619051481317,-0.03100619051481317,0.9958424912999098,855.1534286801605,165.3,0.16196009883195397,0.0015
216,-0.20000000000000018,0.2,0.30000000000000004,75,2,30,1.0118915270692583,0.10118915270692579,0.9942480510736985,817.317055283151,147.7,0.19683083443082852,0.001
217,-0.20000000000000018,0.2,0.4,25,2,60,-1.168078744370837,-0.11680787443708365,0.9954441070766198,823.3634795953765,165.3,0.20180859812714602,0.001
218,-0.20000000000000018,0.2,0.4,50,2,60,-0.36934991544728746,-0.03693499154472866,0.9935541608313659,788.7681544310464,146.8,0.24250653921514997,0.001
224,-0.20000000000000018,0.4,0.2,25,2,30,-2.9303059612591484,-0.2930305961259147,0.9986164093216843,868.6633870839742,148.2,0.14252504266470462,0.0015
229,-0.20000000000000018,0.4,0.30000000000000004,25,2,30,-3.053735046670738,-0.30537350466707397,0.9992042202587121,857.6751471689764,160.1,0.15243073187982287,0.001
230,-0.20000000000000018,0.4,0.30000000000000004,25,2,60,-3.053735046670738,-0.30537350466707397,0.9992042202587121,857.6751471689764,158.4,0.15243073187982287,0.002
233,-0.20000000000000018,0.4,0.30000000000000004,75,6,60,1.9573061572641337,0.1957306157264136,0.9965616003730737,610.329299624606,52.6,0.28394276332872753,0.002
235,-0.20000000000000018,0.4,0.4,50,2,60,-4.917667782685851,-0.4917667782685851,0.9999317044986885,777.5197555475113,146.4,0.24582076401830663,0.001
236,-0.20000000000000018,0.4,0.4,50,6,60,7.680590480795615,0.7680590480795619,0.9918619277363169,579.3022499738651,57.2,0.3255894506712603,0.001
237,-0.20000000000000018,0.4,0.4,75,2,60,0.6215717108195804,0.06215717108195804,0.9938684374452039,788.1272174338875,141.0,0.22727545522051332,0.002
243,-0.20000000000000018,0.6000000000000001,0.2,50,6,60,-1.5978691779573182,-0.15978691779573184,0.997602799816411,557.6884586333612,50.3,0.2774525846455138,0.002
247,-0.20000000000000018,0.6000000000000001,0.30000000000000004,50,6,60,2.951686835501323,0.2951686835501325,0.9969272684473781,581.0573043306284,53.8,0.2941145628236353,0.002
251,-0.20000000000000018,0.6000000000000001,0.4,50,2,60,-4.389488001671919,-0.43894880016719184,0.999295079087782,779.9704868418625,146.9,0.25030359172452876,0.002
252,-0.20000000000000018,0.6000000000000001,0.4,50,6,60,7.652884210668981,0.7652884210668983,0.9921769930434794,578.7873750898849,56.8,0.32159910101022626,0.002
253,-0.20000000000000018,0.6000000000000001,0.4,75,2,60,0.2898925049544573,0.028989250495445696,0.9951331987694878,795.006802282033,142.6,0.2235807647932088,0.001
265,-0.20000000000000018,0.8,0.30000000000000004,50,6,60,6.166274372578039,0.616627437257804,0.9887395590386469,587.4158043306285,53.6,0.2896046776447547,0.002
268,-0.20000000000000018,0.8,0.30000000000000004,75,6,60,3.0010069056027078,0.3001006905602708,0.9979147346202266,602.879299624606,52.0,0.2874153304311727,0.002
269,-0.20000000000000018,0.8,0.4,25,6,60,1.8304690264095371,0.18304690264095366,0.999862051030209,520.4390994611224,59.9,0.3421015194603038,0.002
270,-0.20000000000000018,0.8,0.4,50,2,60,-4.196345536686067,-0.4196345536686067,0.9990372363127701,780.235421243946,147.9,0.25014794300368504,0.001
271,-0.20000000000000018,0.8,0.4,50,6,30,5.873246718951895,0.5873246718951898,0.998281961632353,579.8584924895533,56.8,0.31835061993578906,0.001
272,-0.20000000000000018,0.8,0.4,50,6,60,9.010861306193465,0.901086130619347,0.9918166542338451,573.9319924895533,56.5,0.3270951894060671,0.001
273,-0.20000000000000018,0.8,0.4,75,2,60,0.657805125989114,0.06578051259891131,0.9947761125524123,795.4879167346292,142.6,0.22333811371477466,0.002
